Player,Tm,G,PER,WS/48,VORP
Justin Harper,ORL,14,1.7,-0.145,-0.2
Josh Harrellson,NYK,37,13.7,.127,0.3
Al Harrington,DEN,64,15.3,.088,0.7
Devin Harris,UTA,63,16.0,.115,1.2
Manny Harris,CLE,26,11.7,.030,0.0
Terrel Harris,MIA,22,6.7,.011,-0.3
Tobias Harris,MIL,42,14.2,.087,0.0
Udonis Haslem,MIA,64,10.9,.106,-0.2
Spencer Hawes,PHI,37,18.1,.152,0.8
Chuck Hayes,SAC,54,8.9,.028,-0.3
Gordon Hayward,UTA,66,15.5,.116,1.8
Lazar Hayward,OKC,26,3.1,-0.040,-0.2
Brendan Haywood,DAL,54,12.9,.114,0.0
Gerald Henderson,CHA,55,14.0,.026,-0.3
Xavier Henry,NOH,45,9.2,.015,-0.4
Roy Hibbert,IND,65,19.3,.154,1.7
J.J. Hickson,TOT,54,14.9,.066,-0.1
J.J. Hickson,SAC,35,9.9,-0.009,-0.3
J.J. Hickson,POR,19,20.2,.147,0.3
Cory Higgins,CHA,38,4.1,-0.150,-0.9
Nenê,TOT,39,18.6,.117,0.9
Nenê,DEN,28,16.7,.092,0.4
Nenê,WAS,11,24.2,.191,0.5
George Hill,IND,50,15.7,.152,1.4
Grant Hill*,PHO,49,12.3,.055,0.4
Jordan Hill,TOT,39,15.8,.118,0.1
Jordan Hill,HOU,32,15.1,.118,0.1
Jordan Hill,LAL,7,19.3,.120,0.0
Kirk Hinrich,ATL,48,9.2,.069,-0.1
Darington Hobson,MIL,5,-3.3,-0.225,-0.1
Jrue Holiday,PHI,65,14.7,.092,1.3
Ryan Hollins,TOT,39,6.9,.023,-0.6
Ryan Hollins,CLE,24,7.0,.013,-0.5
Ryan Hollins,BOS,15,6.8,.044,-0.2
Tyler Honeycutt,SAC,15,10.4,.013,0.0
Al Horford,ATL,11,19.0,.180,0.5
Dennis Horner,NJN,8,6.6,-0.012,0.0
Dwight Howard,ORL,54,24.2,.179,3.3
Josh Howard,UTA,43,10.5,.025,-0.4
Juwan Howard,MIA,28,3.6,-0.076,-0.3
Lester Hudson,TOT,16,13.9,.012,-0.1
Lester Hudson,CLE,13,14.7,.026,0.0
Lester Hudson,MEM,3,0.4,-0.207,-0.1
Larry Hughes,ORL,9,-4.8,-0.193,-0.3
Kris Humphries,NJN,62,17.9,.118,0.6
Serge Ibaka,OKC,66,19.0,.167,1.9
Andre Iguodala,PHI,62,17.6,.158,3.3
Ersan İlyasova,MIL,60,20.5,.185,1.6
Kyrie Irving,CLE,51,21.4,.125,2.4
Royal Ivey,OKC,34,4.7,.025,-0.1
Jarrett Jack,NOH,45,17.9,.119,1.4
Reggie Jackson,OKC,45,9.2,.011,-0.2
Stephen Jackson,TOT,47,10.7,.025,-0.1
Stephen Jackson,MIL,26,8.9,-0.019,-0.3
Stephen Jackson,SAS,21,13.1,.086,0.2
Damion James,NJN,7,6.1,-0.043,-0.2
LeBron James,MIA,62,30.7,.298,7.6
Mike James,CHI,11,13.7,.111,0.0
Antawn Jamison,CLE,65,16.1,.070,0.9
Al Jefferson,UTA,61,22.8,.173,3.0
Richard Jefferson,TOT,63,11.1,.085,0.6
Richard Jefferson,SAS,41,10.9,.100,0.6
Richard Jefferson,GSW,22,11.6,.056,0.0
Jared Jeffries,NYK,39,10.9,.109,0.2
Charles Jenkins,GSW,51,12.4,.028,-0.5
Brandon Jennings,MIL,66,18.4,.114,2.8
Jonas Jerebko,DET,64,14.2,.108,0.2
Yi Jianlian,DAL,30,10.4,-0.003,-0.2
Amir Johnson,TOR,64,14.4,.122,0.6
Armon Johnson,TOT,9,12.9,.050,0.0
Armon Johnson,POR,1,20.7,.042,0.0
Armon Johnson,NJN,8,12.5,.051,0.0
Carldell Johnson,NOH,15,8.9,-0.003,0.0
Chris Johnson,TOT,27,10.8,.059,-0.1
Chris Johnson,POR,20,11.4,.077,-0.1
Chris Johnson,NOH,7,10.1,.038,-0.1
Ivan Johnson,ATL,56,14.3,.113,0.0
JaJuan Johnson,BOS,36,11.4,.032,-0.1
James Johnson,TOR,62,14.5,.079,1.3
Joe Johnson,ATL,60,18.4,.145,2.2
Trey Johnson,NOH,11,11.8,.096,0.0
Wesley Johnson,MIN,65,8.0,.021,0.0
Dahntay Jones,IND,65,10.3,.090,0.0
Dominique Jones,DAL,33,11.8,.044,0.0
James Jones,MIA,51,9.7,.120,0.3
Solomon Jones,TOT,21,9.1,.042,-0.2
Solomon Jones,LAC,10,5.3,.008,-0.1
Solomon Jones,NOH,11,11.0,.059,-0.1
DeAndre Jordan,LAC,66,16.4,.150,0.9
Jerome Jordan,NYK,21,18.3,.211,0.1
Cory Joseph,SAS,29,6.9,.001,-0.2
Chris Kaman,NOH,47,15.3,.024,0.2
Jason Kapono,LAL,27,4.5,.021,-0.2
D.J. Kennedy,CLE,2,4.7,-0.023,-0.1
Jason Kidd*,DAL,48,13.1,.104,1.2
Linas Kleiza,TOR,49,12.4,.066,0.0
Brandon Knight,DET,66,11.7,.029,-0.3
Kyle Korver,CHI,65,13.6,.172,1.6
Kosta Koufos,DEN,48,17.3,.163,0.6
Carl Landry,NOH,41,18.2,.139,0.4
Ty Lawson,DEN,61,19.4,.157,2.8
Courtney Lee,HOU,58,12.6,.087,0.9
David Lee,GSW,57,19.7,.113,0.9
Malcolm Lee,MIN,19,9.3,.024,-0.1
Kawhi Leonard,SAS,64,16.6,.171,2.1
Travis Leslie,LAC,10,14.6,.060,0.0
Jon Leuer,MIL,46,15.3,.122,0.2
Rashard Lewis,WAS,28,9.3,.018,-0.3
DeAndre Liggins,ORL,17,8.9,.000,-0.1
Jeremy Lin,NYK,35,19.9,.140,1.4
Shaun Livingston,MIL,58,11.0,.055,0.2
Brook Lopez,NJN,5,21.9,.091,0.1
Robin Lopez,PHO,64,15.2,.115,0.0
Kevin Love,MIN,55,25.4,.223,3.9
Kyle Lowry,HOU,47,18.8,.156,2.3
John Lucas III,CHI,49,16.3,.143,0.9
Shelvin Mack,WAS,64,11.9,.042,-0.1
